,FOOD_SVC_SF,GROCERY_SF,HEALTH_CARE_SF,K12_SF,LODGING_SF,OFFICE_SF,RESIDENTIAL_SF,SA_RTL_SF,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Total_Consumption,Weekdays_Fri,Weekdays_Mon,Weekdays_Sat,Weekdays_Sun,Weekdays_Thu,Weekdays_Tue,Weekdays_Wed,HolidayName_Christmas,HolidayName_Columbus Day,HolidayName_Easter,HolidayName_FALSE,HolidayName_Independence Day,HolidayName_Labor Day,HolidayName_Martin Luther King Day,HolidayName_Memorial Day,HolidayName_New Year's Day,HolidayName_Presidents' Day,HolidayName_Thanksgiving Day,HolidayName_Veterans Day,School_Day_0.0,School_Day_1.0,Workday_False,Workday_True,Month_1,Month_10,Month_11,Month_12,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Day_1,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_2,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_3,Day_30,Day_31,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Hour_1,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_2,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9
1900-01-01 01:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-9.4,0.84,6,-7.2,4.0,77215.4322198432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 02:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-10.6,0.81,6,-7.8,4.0,71706.59297902943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1900-01-01 03:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-10.6,0.81,6,-7.8,4.0,74560.99807683176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1900-01-01 04:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-11.7,0.77,6,-8.3,4.0,71236.62753564038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1900-01-01 05:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-12.2,0.74,5,-8.3,4.0,79845.44016515234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1900-01-01 06:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-12.2,0.81,5,-9.4,4.0,89642.40426116115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1900-01-01 07:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-13.9,0.74,5,-10.0,4.8,112646.19227529176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1900-01-01 08:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-14.4,0.73,5,-10.6,4.8,116870.74897148256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1900-01-01 09:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,0.8,-14.4,0.73,5,-10.6,8.0,99892.83185962992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 10:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-13.9,0.77,5,-10.6,9.7,85579.32022682202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 11:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-13.3,0.74,5,-9.4,3.2,83191.84671204351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 12:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-13.3,0.74,5,-9.4,4.8,81303.10140224104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 13:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,1.0,-12.8,0.77,5,-9.4,8.0,83387.77959026444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 14:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,0.8,-13.9,0.74,5,-10.0,8.0,78872.9796491707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01 15:00:00,967558.098713202,539981.1168577729,965374.2969271572,2426480.0,931129.0904894556,9999731.470959105,84823407.57930729,971961.7356646549,0.8,-13.3,0.74,5,-9.4,9.7,78827.71372214817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
