,Date,KWH,Source
0,2010-01-04 16:00:00,14186.16,Solar
1,2010-01-04 17:00:00,5898.0,Solar
2,2010-01-05 10:00:00,12421.86,Solar
3,2010-01-05 11:00:00,14210.46,Solar
4,2010-01-05 12:00:00,14723.64,Solar
5,2010-01-05 13:00:00,13625.16,Solar
6,2010-01-05 14:00:00,20007.08,Solar
7,2010-01-05 15:00:00,19501.94,Solar
8,2010-01-05 16:00:00,12511.12,Solar
9,2010-01-05 17:00:00,4400.84,Solar
10,2010-01-06 10:00:00,9522.26,Solar
11,2010-01-06 11:00:00,14295.44,Solar
12,2010-01-06 12:00:00,18739.66,Solar
13,2010-01-06 13:00:00,26164.36,Solar
14,2010-01-06 14:00:00,37008.6,Solar
15,2010-01-06 15:00:00,33488.7,Solar
16,2010-01-06 16:00:00,18329.84,Solar
17,2010-01-06 17:00:00,6352.52,Solar
18,2010-01-07 10:00:00,10114.34,Solar
19,2010-01-07 11:00:00,19204.96,Solar
20,2010-01-07 12:00:00,19687.72,Solar
21,2010-01-07 13:00:00,21446.0,Solar
22,2010-01-07 14:00:00,16248.42,Solar
23,2010-01-07 15:00:00,7739.1,Solar
24,2010-01-07 16:00:00,1372.92,Solar
25,2010-01-08 10:00:00,4979.204153,Solar
26,2010-01-08 11:00:00,7590.68,Solar
27,2010-01-08 12:00:00,13824.98,Solar
28,2010-01-08 13:00:00,20624.0,Solar
29,2010-01-08 14:00:00,21511.12,Solar
30,2010-01-08 15:00:00,20099.38,Solar
31,2010-01-08 16:00:00,18016.0,Solar
32,2010-01-08 17:00:00,9522.16,Solar
33,2010-01-09 10:00:00,37558.26,Solar
34,2010-01-09 11:00:00,96435.48,Solar
35,2010-01-09 12:00:00,147798.38,Solar
36,2010-01-09 13:00:00,173552.06,Solar
37,2010-01-09 14:00:00,170306.06,Solar
38,2010-01-09 15:00:00,156550.82,Solar
39,2010-01-09 16:00:00,122563.86,Solar
40,2010-01-09 17:00:00,61592.86,Solar
41,2010-01-10 10:00:00,41510.26,Solar
42,2010-01-10 11:00:00,93251.84,Solar
43,2010-01-10 12:00:00,158242.18,Solar
44,2010-01-10 13:00:00,178238.7,Solar
45,2010-01-10 14:00:00,145492.52,Solar
46,2010-01-10 15:00:00,157734.86,Solar
47,2010-01-10 16:00:00,122940.84,Solar
48,2010-01-10 17:00:00,56321.84,Solar
49,2010-01-11 12:00:00,5.0922246377,Solar
50,2010-01-11 13:00:00,320.42583333,Solar
51,2010-01-11 14:00:00,1420.9889362,Solar
52,2010-01-11 15:00:00,12604.3,Solar
53,2010-01-11 16:00:00,10666.58,Solar
54,2010-01-11 17:00:00,3947.530971,Solar
55,2010-01-12 10:00:00,9066.82,Solar
56,2010-01-12 11:00:00,22946.18,Solar
57,2010-01-12 12:00:00,49661.16,Solar
58,2010-01-12 13:00:00,73261.94,Solar
59,2010-01-12 14:00:00,63374.6,Solar
60,2010-01-12 15:00:00,47015.98,Solar
61,2010-01-12 16:00:00,43048.02,Solar
62,2010-01-12 17:00:00,11762.74,Solar
63,2010-01-13 10:00:00,45304.9,Solar
64,2010-01-13 11:00:00,92850.26,Solar
65,2010-01-13 12:00:00,128096.28,Solar
