Time,Date,Hour,KWH,Source
2010-01-04 15:00:00,2010-01-04,15,14186.16,Solar
2010-01-04 16:00:00,2010-01-04,16,5898.0,Solar
2010-01-05 09:00:00,2010-01-05,9,12421.86,Solar
2010-01-05 10:00:00,2010-01-05,10,14210.46,Solar
2010-01-05 11:00:00,2010-01-05,11,14723.64,Solar
2010-01-05 12:00:00,2010-01-05,12,13625.16,Solar
2010-01-05 13:00:00,2010-01-05,13,20007.08,Solar
2010-01-05 14:00:00,2010-01-05,14,19501.94,Solar
2010-01-05 15:00:00,2010-01-05,15,12511.12,Solar
2010-01-05 16:00:00,2010-01-05,16,4400.84,Solar
2010-01-06 09:00:00,2010-01-06,9,9522.26,Solar
2010-01-06 10:00:00,2010-01-06,10,14295.44,Solar
2010-01-06 11:00:00,2010-01-06,11,18739.66,Solar
2010-01-06 12:00:00,2010-01-06,12,26164.36,Solar
2010-01-06 13:00:00,2010-01-06,13,37008.6,Solar
2010-01-06 14:00:00,2010-01-06,14,33488.7,Solar
2010-01-06 15:00:00,2010-01-06,15,18329.84,Solar
2010-01-06 16:00:00,2010-01-06,16,6352.52,Solar
2010-01-07 09:00:00,2010-01-07,9,10114.34,Solar
2010-01-07 10:00:00,2010-01-07,10,19204.96,Solar
2010-01-07 11:00:00,2010-01-07,11,19687.72,Solar
2010-01-07 12:00:00,2010-01-07,12,21446.0,Solar
2010-01-07 13:00:00,2010-01-07,13,16248.42,Solar
2010-01-07 14:00:00,2010-01-07,14,7739.1,Solar
2010-01-07 15:00:00,2010-01-07,15,1372.92,Solar
2010-01-08 09:00:00,2010-01-08,9,4979.204153,Solar
2010-01-08 10:00:00,2010-01-08,10,7590.68,Solar
2010-01-08 11:00:00,2010-01-08,11,13824.98,Solar
2010-01-08 12:00:00,2010-01-08,12,20624.0,Solar
2010-01-08 13:00:00,2010-01-08,13,21511.12,Solar
2010-01-08 14:00:00,2010-01-08,14,20099.38,Solar
2010-01-08 15:00:00,2010-01-08,15,18016.0,Solar
2010-01-08 16:00:00,2010-01-08,16,9522.16,Solar
2010-01-09 09:00:00,2010-01-09,9,37558.26,Solar
2010-01-09 10:00:00,2010-01-09,10,96435.48,Solar
2010-01-09 11:00:00,2010-01-09,11,147798.38,Solar
2010-01-09 12:00:00,2010-01-09,12,173552.06,Solar
2010-01-09 13:00:00,2010-01-09,13,170306.06,Solar
2010-01-09 14:00:00,2010-01-09,14,156550.82,Solar
2010-01-09 15:00:00,2010-01-09,15,122563.86,Solar
2010-01-09 16:00:00,2010-01-09,16,61592.86,Solar
2010-01-10 09:00:00,2010-01-10,9,41510.26,Solar
2010-01-10 10:00:00,2010-01-10,10,93251.84,Solar
2010-01-10 11:00:00,2010-01-10,11,158242.18,Solar
2010-01-10 12:00:00,2010-01-10,12,178238.7,Solar
2010-01-10 13:00:00,2010-01-10,13,145492.52,Solar
2010-01-10 14:00:00,2010-01-10,14,157734.86,Solar
2010-01-10 15:00:00,2010-01-10,15,122940.84,Solar
2010-01-10 16:00:00,2010-01-10,16,56321.84,Solar
2010-01-11 11:00:00,2010-01-11,11,5.0922246377,Solar
2010-01-11 12:00:00,2010-01-11,12,320.42583333,Solar
2010-01-11 13:00:00,2010-01-11,13,1420.9889362,Solar
2010-01-11 14:00:00,2010-01-11,14,12604.3,Solar
2010-01-11 15:00:00,2010-01-11,15,10666.58,Solar
2010-01-11 16:00:00,2010-01-11,16,3947.530971,Solar
2010-01-12 09:00:00,2010-01-12,9,9066.82,Solar
2010-01-12 10:00:00,2010-01-12,10,22946.18,Solar
2010-01-12 11:00:00,2010-01-12,11,49661.16,Solar
2010-01-12 12:00:00,2010-01-12,12,73261.94,Solar
2010-01-12 13:00:00,2010-01-12,13,63374.6,Solar
2010-01-12 14:00:00,2010-01-12,14,47015.98,Solar
2010-01-12 15:00:00,2010-01-12,15,43048.02,Solar
2010-01-12 16:00:00,2010-01-12,16,11762.74,Solar
2010-01-13 09:00:00,2010-01-13,9,45304.9,Solar
2010-01-13 10:00:00,2010-01-13,10,92850.26,Solar
2010-01-13 11:00:00,2010-01-13,11,128096.28,Solar
2010-01-13 12:00:00,2010-01-13,12,152430.22,Solar
2010-01-13 13:00:00,2010-01-13,13,155163.48,Solar
2010-01-13 14:00:00,2010-01-13,14,142348.3,Solar
2010-01-13 15:00:00,2010-01-13,15,107766.7,Solar
2010-01-13 16:00:00,2010-01-13,16,51508.96,Solar
2010-01-14 09:00:00,2010-01-14,9,43818.08,Solar
2010-01-14 10:00:00,2010-01-14,10,103257.7,Solar
2010-01-14 11:00:00,2010-01-14,11,146213.9,Solar
2010-01-14 12:00:00,2010-01-14,12,149018.26,Solar
2010-01-14 13:00:00,2010-01-14,13,95080.3,Solar
2010-01-14 14:00:00,2010-01-14,14,105494.38,Solar
2010-01-14 15:00:00,2010-01-14,15,42619.64,Solar
2010-01-14 16:00:00,2010-01-14,16,6453.14,Solar
2010-01-15 09:00:00,2010-01-15,9,15271.18,Solar
2010-01-15 10:00:00,2010-01-15,10,47189.78,Solar
2010-01-15 11:00:00,2010-01-15,11,75972.0,Solar
2010-01-15 12:00:00,2010-01-15,12,79475.04,Solar
2010-01-15 13:00:00,2010-01-15,13,157763.7,Solar
2010-01-15 14:00:00,2010-01-15,14,154660.08,Solar
2010-01-15 15:00:00,2010-01-15,15,123451.28,Solar
2010-01-15 16:00:00,2010-01-15,16,70152.62,Solar
2010-01-16 09:00:00,2010-01-16,9,8875.3,Solar
2010-01-16 10:00:00,2010-01-16,10,19227.14,Solar
2010-01-16 11:00:00,2010-01-16,11,25544.18,Solar
2010-01-16 12:00:00,2010-01-16,12,26884.46,Solar
2010-01-16 13:00:00,2010-01-16,13,26309.56,Solar
2010-01-16 14:00:00,2010-01-16,14,22680.26,Solar
2010-01-16 15:00:00,2010-01-16,15,15751.88,Solar
2010-01-16 16:00:00,2010-01-16,16,8305.2,Solar
2010-01-17 09:00:00,2010-01-17,9,5241.56,Solar
2010-01-17 10:00:00,2010-01-17,10,11294.58,Solar
2010-01-17 11:00:00,2010-01-17,11,21654.84,Solar
2010-01-17 12:00:00,2010-01-17,12,27577.36,Solar
2010-01-17 13:00:00,2010-01-17,13,36972.72,Solar
2010-01-17 14:00:00,2010-01-17,14,52900.92,Solar
2010-01-17 15:00:00,2010-01-17,15,86435.38,Solar
2010-01-17 16:00:00,2010-01-17,16,44273.66,Solar
2010-01-18 09:00:00,2010-01-18,9,5059.5,Solar
2010-01-18 10:00:00,2010-01-18,10,12650.22,Solar
2010-01-18 11:00:00,2010-01-18,11,13940.72,Solar
2010-01-18 12:00:00,2010-01-18,12,20418.9,Solar
2010-01-18 13:00:00,2010-01-18,13,22814.96,Solar
2010-01-18 14:00:00,2010-01-18,14,25494.62,Solar
2010-01-18 15:00:00,2010-01-18,15,22919.78,Solar
2010-01-18 16:00:00,2010-01-18,16,8742.58,Solar
2010-01-19 09:00:00,2010-01-19,9,49463.6,Solar
2010-01-19 10:00:00,2010-01-19,10,63870.56,Solar
2010-01-19 11:00:00,2010-01-19,11,56841.62,Solar
2010-01-19 12:00:00,2010-01-19,12,49911.12,Solar
2010-01-19 13:00:00,2010-01-19,13,50335.56,Solar
2010-01-19 14:00:00,2010-01-19,14,36258.32,Solar
2010-01-19 15:00:00,2010-01-19,15,14941.28,Solar
