,Location,Date,Wind_Speed
0,Wind Farm,2011-03-24 19:00:00,4.7
1,Wind Farm,2011-03-24 20:00:00,5.3
2,Wind Farm,2011-03-24 21:00:00,6.4
3,Wind Farm,2011-03-24 22:00:00,6.1
4,Wind Farm,2011-03-24 23:00:00,5.5
5,Wind Farm,2011-03-25 00:00:00,4.9
6,Wind Farm,2011-03-25 01:00:00,4.1
7,Wind Farm,2011-03-25 02:00:00,3.5
8,Wind Farm,2011-03-25 03:00:00,3.9
9,Wind Farm,2011-03-25 04:00:00,3.4
10,Wind Farm,2011-03-25 05:00:00,3.3
11,Wind Farm,2011-03-25 06:00:00,2.8
12,Wind Farm,2011-03-25 07:00:00,2.5
13,Wind Farm,2011-03-25 08:00:00,2.9
14,Wind Farm,2011-03-25 09:00:00,2.5
15,Wind Farm,2011-03-25 10:00:00,1.9
16,Wind Farm,2011-03-25 11:00:00,1.4
17,Wind Farm,2011-03-25 12:00:00,1.4
18,Wind Farm,2011-03-25 13:00:00,2.4
19,Wind Farm,2011-03-25 14:00:00,3.3
20,Wind Farm,2011-03-25 15:00:00,3.7
21,Wind Farm,2011-03-25 16:00:00,3.5
22,Wind Farm,2011-03-25 17:00:00,3.7
23,Wind Farm,2011-03-25 18:00:00,3.7
24,Wind Farm,2011-03-25 19:00:00,3.6
25,Wind Farm,2011-03-25 20:00:00,3.2
26,Wind Farm,2011-03-25 21:00:00,3.5
27,Wind Farm,2011-03-25 22:00:00,5.0
28,Wind Farm,2011-03-25 23:00:00,5.3
29,Wind Farm,2011-03-26 00:00:00,4.4
30,Wind Farm,2011-03-26 01:00:00,4.6
31,Wind Farm,2011-03-26 02:00:00,5.3
32,Wind Farm,2011-03-26 03:00:00,5.2
33,Wind Farm,2011-03-26 04:00:00,4.7
34,Wind Farm,2011-03-26 05:00:00,4.7
35,Wind Farm,2011-03-26 06:00:00,4.2
36,Wind Farm,2011-03-26 07:00:00,4.9
37,Wind Farm,2011-03-26 08:00:00,4.3
38,Wind Farm,2011-03-26 09:00:00,5.0
39,Wind Farm,2011-03-26 10:00:00,4.1
40,Wind Farm,2011-03-26 11:00:00,3.7
41,Wind Farm,2011-03-26 12:00:00,3.5
42,Wind Farm,2011-03-26 13:00:00,4.2
43,Wind Farm,2011-03-26 14:00:00,4.9
44,Wind Farm,2011-03-26 15:00:00,4.6
45,Wind Farm,2011-03-26 16:00:00,4.7
46,Wind Farm,2011-03-26 17:00:00,4.4
47,Wind Farm,2011-03-26 18:00:00,5.7
48,Wind Farm,2011-03-26 19:00:00,7.2
49,Wind Farm,2011-03-26 20:00:00,7.1
50,Wind Farm,2011-03-26 21:00:00,6.4
51,Wind Farm,2011-03-26 22:00:00,6.1
52,Wind Farm,2011-03-26 23:00:00,5.8
53,Wind Farm,2011-03-27 00:00:00,5.3
54,Wind Farm,2011-03-27 01:00:00,5.7
55,Wind Farm,2011-03-27 02:00:00,2.7
56,Wind Farm,2011-03-27 03:00:00,5.6
57,Wind Farm,2011-03-27 04:00:00,5.6
58,Wind Farm,2011-03-27 05:00:00,6.4
59,Wind Farm,2011-03-27 06:00:00,4.9
60,Wind Farm,2011-03-27 07:00:00,4.9
61,Wind Farm,2011-03-27 08:00:00,4.9
62,Wind Farm,2011-03-27 09:00:00,5.5
63,Wind Farm,2011-03-27 10:00:00,4.7
64,Wind Farm,2011-03-27 11:00:00,2.9
65,Wind Farm,2011-03-27 12:00:00,3.1
66,Wind Farm,2011-03-27 13:00:00,3.3
67,Wind Farm,2011-03-27 14:00:00,3.4
68,Wind Farm,2011-03-27 15:00:00,3.3
69,Wind Farm,2011-03-27 16:00:00,3.2
70,Wind Farm,2011-03-27 17:00:00,3.3
71,Wind Farm,2011-03-27 18:00:00,3.5
72,Wind Farm,2011-03-27 19:00:00,3.6
73,Wind Farm,2011-03-27 20:00:00,3.9
74,Wind Farm,2011-03-27 21:00:00,4.2
75,Wind Farm,2011-03-27 22:00:00,5.6
76,Wind Farm,2011-03-27 23:00:00,5.9
77,Wind Farm,2011-03-28 00:00:00,6.5
78,Wind Farm,2011-03-28 01:00:00,5.2
79,Wind Farm,2011-03-28 02:00:00,4.3
80,Wind Farm,2011-03-28 03:00:00,3.9
81,Wind Farm,2011-03-28 04:00:00,3.9
82,Wind Farm,2011-03-28 05:00:00,4.1
83,Wind Farm,2011-03-28 06:00:00,4.4
84,Wind Farm,2011-03-28 07:00:00,3.5
85,Wind Farm,2011-03-28 08:00:00,4.1
86,Wind Farm,2011-03-28 09:00:00,5.1
87,Wind Farm,2011-03-28 10:00:00,3.3
88,Wind Farm,2011-03-28 11:00:00,2.7
89,Wind Farm,2011-03-28 12:00:00,2.6
90,Wind Farm,2011-03-28 13:00:00,2.8
91,Wind Farm,2011-03-28 14:00:00,2.7
92,Wind Farm,2011-03-28 15:00:00,4.0
93,Wind Farm,2011-03-28 16:00:00,3.9
94,Wind Farm,2011-03-28 17:00:00,3.6
95,Wind Farm,2011-03-28 18:00:00,3.6
96,Wind Farm,2011-03-28 19:00:00,3.2
97,Wind Farm,2011-03-28 20:00:00,3.8
98,Wind Farm,2011-03-28 21:00:00,3.0
99,Wind Farm,2011-03-28 22:00:00,3.1
100,Wind Farm,2011-03-28 23:00:00,4.1
101,Wind Farm,2011-03-29 00:00:00,4.6
102,Wind Farm,2011-03-29 01:00:00,5.3
103,Wind Farm,2011-03-29 02:00:00,4.6
104,Wind Farm,2011-03-29 03:00:00,4.8
105,Wind Farm,2011-03-29 04:00:00,4.5
106,Wind Farm,2011-03-29 05:00:00,4.2
107,Wind Farm,2011-03-29 06:00:00,4.0
108,Wind Farm,2011-03-29 07:00:00,4.1
109,Wind Farm,2011-03-29 08:00:00,3.9
110,Wind Farm,2011-03-29 09:00:00,3.7
111,Wind Farm,2011-03-29 10:00:00,2.1
112,Wind Farm,2011-03-29 11:00:00,1.9
113,Wind Farm,2011-03-29 12:00:00,2.0
114,Wind Farm,2011-03-29 13:00:00,2.6
115,Wind Farm,2011-03-29 14:00:00,2.8
116,Wind Farm,2011-03-29 15:00:00,3.1
117,Wind Farm,2011-03-29 16:00:00,2.6
118,Wind Farm,2011-03-29 17:00:00,2.1
119,Wind Farm,2011-03-29 18:00:00,1.9
120,Wind Farm,2011-03-29 19:00:00,2.2
121,Wind Farm,2011-03-29 20:00:00,2.5
122,Wind Farm,2011-03-29 21:00:00,3.4
123,Wind Farm,2011-03-29 22:00:00,3.6
124,Wind Farm,2011-03-29 23:00:00,4.7
125,Wind Farm,2011-03-30 00:00:00,5.1
126,Wind Farm,2011-03-30 01:00:00,5.5
127,Wind Farm,2011-03-30 02:00:00,3.7
128,Wind Farm,2011-03-30 03:00:00,2.7
129,Wind Farm,2011-03-30 04:00:00,4.1
130,Wind Farm,2011-03-30 05:00:00,5.6
131,Wind Farm,2011-03-30 06:00:00,5.3
132,Wind Farm,2011-03-30 07:00:00,5.2
133,Wind Farm,2011-03-30 08:00:00,5.7
134,Wind Farm,2011-03-30 09:00:00,5.1
135,Wind Farm,2011-03-30 10:00:00,7.5
136,Wind Farm,2011-03-30 11:00:00,7.5
137,Wind Farm,2011-03-30 12:00:00,8.3
138,Wind Farm,2011-03-30 13:00:00,7.9
139,Wind Farm,2011-03-30 14:00:00,5.1
140,Wind Farm,2011-03-30 15:00:00,4.4
141,Wind Farm,2011-03-30 16:00:00,5.9
142,Wind Farm,2011-03-30 17:00:00,6.3
143,Wind Farm,2011-03-30 18:00:00,6.5
144,Wind Farm,2011-03-30 19:00:00,5.7
145,Wind Farm,2011-03-30 20:00:00,5.7
146,Wind Farm,2011-03-30 21:00:00,5.7
147,Wind Farm,2011-03-30 22:00:00,6.4
148,Wind Farm,2011-03-30 23:00:00,7.3
149,Wind Farm,2011-03-31 00:00:00,7.9
150,Wind Farm,2011-03-31 01:00:00,7.3
151,Wind Farm,2011-03-31 02:00:00,8.0
152,Wind Farm,2011-03-31 03:00:00,7.7
153,Wind Farm,2011-03-31 04:00:00,7.6
154,Wind Farm,2011-03-31 05:00:00,7.2
155,Wind Farm,2011-03-31 06:00:00,7.3
156,Wind Farm,2011-03-31 07:00:00,7.5
157,Wind Farm,2011-03-31 08:00:00,7.5
158,Wind Farm,2011-03-31 09:00:00,8.6
159,Wind Farm,2011-03-31 10:00:00,11.9
160,Wind Farm,2011-03-31 11:00:00,11.1
161,Wind Farm,2011-03-31 12:00:00,11.4
162,Wind Farm,2011-03-31 13:00:00,11.8
163,Wind Farm,2011-03-31 14:00:00,13.0
164,Wind Farm,2011-03-31 15:00:00,12.3
165,Wind Farm,2011-03-31 16:00:00,9.3
166,Wind Farm,2011-03-31 17:00:00,9.6
167,Wind Farm,2011-03-31 18:00:00,9.9
168,Wind Farm,2011-03-31 19:00:00,9.4
169,Wind Farm,2011-03-31 20:00:00,8.9
170,Wind Farm,2011-03-31 21:00:00,8.6
171,Wind Farm,2011-03-31 22:00:00,8.4
172,Wind Farm,2011-03-31 23:00:00,8.0
173,Wind Farm,2011-04-01 00:00:00,8.5
174,Wind Farm,2011-04-01 01:00:00,8.9
175,Wind Farm,2011-04-01 02:00:00,9.1
176,Wind Farm,2011-04-01 03:00:00,7.6
177,Wind Farm,2011-04-01 04:00:00,6.4
178,Wind Farm,2011-04-01 05:00:00,6.1
179,Wind Farm,2011-04-01 06:00:00,6.8
180,Wind Farm,2011-04-01 07:00:00,6.2
181,Wind Farm,2011-04-01 08:00:00,5.8
182,Wind Farm,2011-04-01 09:00:00,6.0
183,Wind Farm,2011-04-01 10:00:00,6.0
184,Wind Farm,2011-04-01 11:00:00,6.7
185,Wind Farm,2011-04-01 12:00:00,6.7
186,Wind Farm,2011-04-01 13:00:00,7.9
187,Wind Farm,2011-04-01 14:00:00,7.1
188,Wind Farm,2011-04-01 15:00:00,6.8
189,Wind Farm,2011-04-01 16:00:00,5.3
190,Wind Farm,2011-04-01 17:00:00,6.6
191,Wind Farm,2011-04-01 18:00:00,6.0
192,Wind Farm,2011-04-01 19:00:00,5.1
193,Wind Farm,2011-04-01 20:00:00,5.5
194,Wind Farm,2011-04-01 21:00:00,5.8
195,Wind Farm,2011-04-01 22:00:00,6.4
196,Wind Farm,2011-04-01 23:00:00,6.8
197,Wind Farm,2011-04-02 00:00:00,6.5
