"Location","Year","Month","Day","Hour","Solar_Elevation"
"Solar Array",2010,1,4,1,-67.4034578998685
"Solar Array",2010,1,4,2,-68.7763376457095
"Solar Array",2010,1,4,3,-63.608613886286
"Solar Array",2010,1,4,4,-54.7378034347027
"Solar Array",2010,1,4,5,-44.4098974189501
"Solar Array",2010,1,4,6,-33.6093454464391
"Solar Array",2010,1,4,7,-22.8112610694772
"Solar Array",2010,1,4,8,-12.3325009182484
"Solar Array",2010,1,4,9,-2.46707866697467
"Solar Array",2010,1,4,10,6.44843794724521
"Solar Array",2010,1,4,11,13.9987098928472
"Solar Array",2010,1,4,12,19.6883149029747
"Solar Array",2010,1,4,13,23.0073530080954
"Solar Array",2010,1,4,14,23.5822182371086
"Solar Array",2010,1,4,15,21.3412641317167
"Solar Array",2010,1,4,16,16.5519029029329
"Solar Array",2010,1,4,17,9.69092940091031
"Solar Array",2010,1,4,18,1.27262554760092
"Solar Array",2010,1,4,19,-8.2523653024061
"Solar Array",2010,1,4,20,-18.5181799653446
"Solar Array",2010,1,4,21,-29.2189198795241
"Solar Array",2010,1,4,22,-40.0564061153089
"Solar Array",2010,1,4,23,-50.6419540338648
"Solar Array",2010,1,4,24,-60.2596084124909
"Solar Array",2010,1,5,1,-67.2663396437879
"Solar Array",2010,1,5,2,-68.6855483829115
"Solar Array",2010,1,5,3,-63.5737408739247
"Solar Array",2010,1,5,4,-54.7347230736789
"Solar Array",2010,1,5,5,-44.4201269868008
"Solar Array",2010,1,5,6,-33.6226850501813
"Solar Array",2010,1,5,7,-22.8214089958982
"Solar Array",2010,1,5,8,-12.3347022645601
"Solar Array",2010,1,5,9,-2.45705075920799
"Solar Array",2010,1,5,10,6.4749364246471
"Solar Array",2010,1,5,11,14.0457888445358
"Solar Array",2010,1,5,12,19.759215067617
"Solar Array",2010,1,5,13,23.1030894538273
"Solar Array",2010,1,5,14,23.7004086236018
"Solar Array",2010,1,5,15,21.4765085203877
"Solar Array",2010,1,5,16,16.6978188302824
"Solar Array",2010,1,5,17,9.84216419226121
"Solar Array",2010,1,5,18,1.42564139394234
"Solar Array",2010,1,5,19,-8.09945797225156
"Solar Array",2010,1,5,20,-18.3660585837657
"Solar Array",2010,1,5,21,-29.0673979861043
"Solar Array",2010,1,5,22,-39.9046516200765
"Solar Array",2010,1,5,23,-50.4888391233384
"Solar Array",2010,1,5,24,-60.1055883847207
"Solar Array",2010,1,6,1,-67.1226433374659
"Solar Array",2010,1,6,2,-68.5866027238929
"Solar Array",2010,1,6,3,-63.5311012219803
"Solar Array",2010,1,6,4,-54.7248186281164
"Solar Array",2010,1,6,5,-44.4241115695047
"Solar Array",2010,1,6,6,-33.6300151264773
"Solar Array",2010,1,6,7,-22.8255514968221
"Solar Array",2010,1,6,8,-12.3307457344167
"Solar Array",2010,1,6,9,-2.44060485706108
"Solar Array",2010,1,6,10,6.50817737323723
"Solar Array",2010,1,6,11,14.0999425750584
"Solar Array",2010,1,6,12,19.837445175552
"Solar Array",2010,1,6,13,23.2062230384093
"Solar Array",2010,1,6,14,23.8257819499312
"Solar Array",2010,1,6,15,21.6184338480936
"Solar Array",2010,1,6,16,16.8497245220195
"Solar Array",2010,1,6,17,9.99864712959658
"Solar Array",2010,1,6,18,1.58322250830281
"Solar Array",2010,1,6,19,-7.94254676433776
"Solar Array",2010,1,6,20,-18.2103386965762
"Solar Array",2010,1,6,21,-28.9124954557553
"Solar Array",2010,1,6,22,-39.7494929184802
"Solar Array",2010,1,6,23,-50.3319445878438
"Solar Array",2010,1,6,24,-59.9468465372372
"Solar Array",2010,1,7,1,-66.9724810934765
"Solar Array",2010,1,7,2,-68.4795531954163
"Solar Array",2010,1,7,3,-63.4806502134918
"Solar Array",2010,1,7,4,-54.7080139936526
"Solar Array",2010,1,7,5,-44.4217752338464
"Solar Array",2010,1,7,6,-33.6312687852729
"Solar Array",2010,1,7,7,-22.8236337039367
"Solar Array",2010,1,7,8,-12.3205900856131
"Solar Array",2010,1,7,9,-2.41771461327777
"Solar Array",2010,1,7,10,6.54817120581538
"Solar Array",2010,1,7,11,14.1611649350719
"Solar Array",2010,1,7,12,19.9229824078628
"Solar Array",2010,1,7,13,23.3167143797621
"Solar Array",2010,1,7,14,23.9582821922757
"Solar Array",2010,1,7,15,21.7669678167887
"Solar Array",2010,1,7,16,17.0075335251581
"Solar Array",2010,1,7,17,10.1602815095548
"Solar Array",2010,1,7,18,1.74526636160334
"Solar Array",2010,1,7,19,-7.78173620235881
"Solar Array",2010,1,7,20,-18.0511240064187
"Solar Array",2010,1,7,21,-28.7543134315443
"Solar Array",2010,1,7,22,-39.59102813753
